hna	rar	0.919689
hni	rar	0.933762
hsb	rar	0.948581
hus	rar	0.924028
huu	rar	0.984807
hva	rar	0.90213
ibb	rar	1
ido	rar	0.905136
ike	rar	1
ilo	rar	0.954142
ina	rar	0.90572
jav	rar	1
kal	rar	1
kde	rar	0.967578
kea	rar	0.936191
kek	rar	0.926505
khm	rar	1
kin	rar	0.945606
kir	rar	1
knc	rar	0.961507
kng	rar	0.97971
kng-AO	rar	0.959237
koo	rar	0.986149
kri	rar	0.962813
lat	rar	1
lav	rar	0.962678
lia	rar	0.911707
lin-tones	rar	1
lnc	rar	0.903055
lns	rar	0.933868
loz	rar	0.899597
ltz	rar	0.950568
lua	rar	0.948964
lug	rar	1
mad	rar	0.915753
mag	rar	1
mai	rar	1
maz	rar	0.868807
mcd	rar	0.980248
mcf	rar	1
men	rar	0.891928
mic	rar	1
min	rar	0.981071
mly-arab	rar	1
mly-latn	rar	1
mxi	rar	0.904632
mxv	rar	0.848044
mya	rar	1
mzi	rar	0.973104
nba	rar	0.975286
nbl	rar	1
nhn	rar	0.974753
nno	rar	0.959128
nob	rar	0.959507
not	rar	0.962919
nso	rar	0.883474
nya-chechewa	rar	0.978591
nya-chinyanja	rar	0.960574
nym	rar	1
nyn	rar	1
ojb	rar	1
oss	rar	1
ote	rar	0.795435
pam	rar	0.899695
pan	rar	1
pbb	rar	0.881262
pcd	rar	0.947079
pcm	rar	0.922741
pis	rar	0.948782
plt	rar	0.960051
pnb	rar	1
pon	rar	0.973532
por-BR	rar	0.883582
por-PT	rar	0.873127
pov	rar	0.840299
ppl	rar	0.95523
prv	rar	0.874035
quc	rar	0.929838
qud	rar	1
quy	rar	1
quz	rar	1
qva	rar	0.976584
qvc	rar	1
qvh	rar	0.971122
qvm	rar	0.980297
qvn	rar	1
qwh	rar	0.936351
qxa	rar	1
qxn	rar	1
qxu	rar	1
rmn	rar	0.81314
rmy	rar	0.97542
roh	rar	0.908603
ron	rar	0.929128
run	rar	0.957555
san	rar	1
sco	rar	0.942322
shp	rar	1
skr	rar	1
slv	rar	0.961133
sme	rar	1
snk	rar	0.89267
som	rar	0.972568
sot	rar	0.864386
src	rar	0.903219
srp-cyrl	rar	1
srp-latn	rar	0.941432
suk	rar	0.985318
sun	rar	1
sus	rar	0.924209
tbz	rar	0.928153
tca	rar	0.9237
tem	rar	0.855144
tet	rar	0.895166
tir	rar	1
toi	rar	1
toj	rar	0.981762
top	rar	0.947281
tpi	rar	0.915284
tso-MZ	rar	0.925945
tsz	rar	0.867225
tuk-cyrl	rar	1
tuk-latn	rar	1
tzc	rar	0.835389
tzm	rar	0.955587
uig-arab	rar	1
uig-latn	rar	1
ura	rar	0.965631
tlh	rar	1
uzn-cyrl	rar	1
uzn-latn	rar	1
vai	rar	1
vmw	rar	0.982804
war	rar	0.972192
wln	rar	0.942751
wwa	rar	0.860928
xsm	rar	0.887174
yad	rar	1
ydd	rar	1
ykg	rar	1
yua	rar	1
zam	rar	0.962256
ztu	rar	0.886519
ara	rar	1
zho	rar	1
gaa	kbp	0.971766
rar	kbp	1
kbp	kbp	0
fin	kbp	0.965114
xho	kbp	1
fij	kbp	0.96655
vie	kbp	1
ces	kbp	0.956801
mri	kbp	1
tgl	kbp	1
tha	kbp	1
nzi	kbp	1
kor	kbp	1
cym	kbp	1
nav	kbp	0.982144
isl	kbp	1
ita	kbp	0.968931
gug	kbp	1
khk	kbp	1
gle	kbp	1
yor	kbp	1
tiv	kbp	0.942957
umb	kbp	1
smo	kbp	0.96227
guw	kbp	1
hau	kbp	1
lue	kbp	1
chk	kbp	1
hin	kbp	1
kat	kbp	1
lit	kbp	1
fra	kbp	0.965851
tsn	kbp	0.961969
yap	kbp	1
sag	kbp	1
heb	kbp	1
afr	kbp	0.963133
wol	kbp	1
mho	kbp	1
ven	kbp	1
kqn	kbp	0.979725
krc	kbp	1
cat	kbp	1
sna	kbp	1
slk	kbp	1
lun	kbp	1
mal	kbp	1
mah	kbp	1
fon	kbp	1
ibo	kbp	1
ton	kbp	1
ndo	kbp	1
ssw	kbp	1
tob	kbp	1
jpn	kbp	1
srr	kbp	1
pau	kbp	1
pol	kbp	1
ada	kbp	0.972169
tso	kbp	1
kmb	kbp	0.980425
nep	kbp	1
ind	kbp	1
mos	kbp	0.976344
bin	kbp	1
mlt	kbp	0.961689
ben	kbp	1
swh	kbp	1
miq	kbp	1
nld	kbp	1
tah	kbp	1
deu	kbp	1
mam	kbp	1
hye	kbp	1
cjk	kbp	1
kan	kbp	1
lin	kbp	1
cha	kbp	1
ukr	kbp	1
tat	kbp	1
spa	kbp	0.961452
ceb	kbp	1
hil	kbp	1
kaz	kbp	1
bul	kbp	1
mkd	kbp	1
hrv	kbp	0.954242
tgk	kbp	1
tur	kbp	1
guj	kbp	1
ewe	kbp	1
eng	kbp	1
rus	kbp	1
swe	kbp	1
bis	kbp	0.963947
dan	kbp	1
bci	kbp	1
tam	kbp	1
arn	kbp	1
hun	kbp	1
tzh	kbp	1
arb	kbp	1
yao	kbp	1
pes	kbp	1
mar	kbp	1
nde	kbp	0.977011
tvl	kbp	0.958957
chv	kbp	1
bwc	kbp	1
mmc	kbp	1
tkl	kbp	1
mto	kbp	1
kum	kbp	1
mwv	kbp	1
krj	kbp	1
xal	kbp	1
rga	kbp	1
bfa	kbp	0.966977
mdf	kbp	1
ami	kbp	1
qwc	kbp	1
urh	kbp	0.966307
zne	kbp	1
srm	kbp	0.965871
hmf	kbp	1
mbx	kbp	1
udm	kbp	1
alt	kbp	1
dyu	kbp	0.967384
knn	kbp	1
abn	kbp	1
byv	kbp	0.976234
gaz	kbp	1
lbe	kbp	1
vmr	kbp	0.971001
kos	kbp	0.968426
her	kbp	1
ayc	kbp	1
igl	kbp	1
krs	kbp	1
kck	kbp	1
mfy	kbp	1
nor	kbp	1
akl	kbp	1
chh	kbp	1
efi	kbp	0.969771
nhc	kbp	0.959328
cpi	kbp	1
ztm	kbp	1
lvs	kbp	1
ctu	kbp	1
lgg	kbp	1
fui	kbp	1
seh	kbp	1
kyk	kbp	1
ndc	kbp	1
tum	kbp	1
otl	kbp	1
tlc	kbp	1
ach	kbp	1
myv	kbp	1
gym	kbp	1
rtm	kbp	0.941597
inh	kbp	1
kwy	kbp	1
tel	kbp	1
gkn	kbp	1
kmr	kbp	1
kha	kbp	1
bsq	kbp	1
ekk	kbp	1
gil	kbp	1
cuk	kbp	1
wic	kbp	1
ava	kbp	1
aln	kbp	0.963438
kpv	kbp	1
meu	kbp	0.972238
nia	kbp	1
zlm	kbp	1
kab	kbp	1
tzo	kbp	1
che	kbp	1
yan	kbp	1
luw	kbp	1
lus	kbp	1
fuf	kbp	0.956704
quw	kbp	1
ray	kbp	1
lsy	kbp	1
hvv	kbp	1
kwn	kbp	1
xmw	kbp	0.980745
bln	kbp	1
kwf	kbp	1
rug	kbp	0.967338
vmp	kbp	1
ogo	kbp	1
nyk	kbp	0.980855
iso	kbp	1
nau	kbp	1
car	kbp	1
azb	kbp	1
ivv	kbp	1
grg	kbp	1
mab	kbp	1
wls	kbp	1
sin	kbp	1
loy	kbp	1
zul	kbp	1
ngl	kbp	1
wrz	kbp	1
pag	kbp	1
nus	kbp	1
iba	kbp	1
dar	kbp	1
ahk	kbp	1
ace	kbp	1
acu	kbp	1
agr	kbp	1
aii	kbp	1
ajg	kbp	1
aka-akuapem	kbp	1
aka-asante	kbp	1
aka-fante	kbp	1
als	kbp	1
amc	kbp	1
ame	kbp	1
amr	kbp	1
arl	kbp	0.965416
ast	kbp	0.974114
auv	kbp	0.958834
ayr	kbp	1
azj-cyrl	kbp	1
azj-latn	kbp	1
bam	kbp	1
ban	kbp	1
bba	kbp	1
bcl	kbp	1
bel	kbp	1
bem	kbp	1
bho	kbp	1
blu	kbp	1
boa	kbp	1
bos-cyrl	kbp	1
bos-latn	kbp	0.954295
bre	kbp	1
btb	kbp	1
bug	kbp	1
cab	kbp	1
cak	kbp	1
cbr	kbp	1
cbs	kbp	1
cbt	kbp	1
cbu	kbp	1
ccx	kbp	1
chj	kbp	1
cic	kbp	1
cjk-AO	kbp	0.98298
ckb	kbp	1
cnh	kbp	1
cni	kbp	1
cof	kbp	0.960268
cos	kbp	1
cot	kbp	1
cpu	kbp	1
crs	kbp	1
csa	kbp	1
csw	kbp	1
ctd	kbp	1
dag	kbp	1
ddn	kbp	1
